,store_id,store_name,score,ward,review_cnt,review,personal_score
0,00000001,らーめん 稲荷屋,3.75,稲荷町,374,10月の限定は「ハトのスープと秋野菜のガルニチュール」です。この限定は1日だいたい10食です。また、土日のオペレーションは1人なので提供までに時間がかかる事があります。銀座線の稲荷町駅から信号待ちを除けば徒歩2分ぐらいの所にあります。JRの上野駅からでも徒歩10分弱ぐらいで行けます。お店の外観は二郎系のような黄色のテントが目を引きますが、見た目とは違い繊細ならーめんを提供しています。普通のらーめんも充分にレベルが高いですが、2ヶ月おきぐらいの周期で店主のフレンチの手法で作るらーめんがとても楽しみです。使っている食材が入らない場合やその時どきに応じてアレンジが変わることがあります。,lunch:4.3
1,00000001,らーめん 稲荷屋,3.75,稲荷町,374,2020年6月6日（土）10:40 訪問稲荷屋さんでヤシオマスの限定が提供されるとのことで訪問。前日までは金目鯛が提供されていて、それが気になっていたんですが、金目鯛は前日で終了。その代わり、この日からヤシオマスの限定がはじまるとなれば行くしかないですよね。開店20分前に到着しPPで待機。開店時には10人ほどの方が並んでおられ、定刻にオープンです。限定は現金対応なので、券売機にてレモンサワーの食券だけ購入し、口頭で限定をオーダーし、1300円お支払い。レモンサワーを飲み、たまに店主さんとお話ししながら待つこと数分で着丼です。よく混ぜて食べたほうがバランスがいいとのことですが、まずはそのままいただきます。スープはシンプルなカツオ出汁で、そのままでは塩分は控えめの優しい味わいです。こちらでは洋風ラーメンを食べることが多かったですが、和風出汁も美味しいです。そして、全体を混ぜることで、カツオ出汁にオリーブの実とトマトが混ざります。オリーブの実には程よい塩気があり、店主さんのお聞きしたところ、シンプルに塩とレモンで味付けしたものとのこと。そのレモンの酸味が塩気のように感じられバランスが良くなるみたいです。トマトの酸味も相性バッチリで、案内された通り、混ぜることでバランスが良くなります。逆に元のスープの味が濃いと、後述のヤシオマスが活かされないので、これがベストの状態かと。麺は、平打ちのパスタ風の麺で、風味がよく、水で〆られているのでコシもしっかりと感じられます。具は、ヤシオマス、オリーブの実、トマト、ネギ、カイワレ、生姜少々。メインとなるヤシオマスはおゆ・ゆるりと気長にさんからの教えて頂きましたが、「栃木県水産試験場で品種改良された鱒」とのことで、川魚とは思えないくらい臭みはまったくなく、上質な脂がのっており、トロトロで旨味たっぷり。しかもそんなヤシオマスの刺身がたくさんのっているので、お得感もあります。レモンサワー進んじゃいますね。カツオ出汁とヤシオマスだけでは完全に和なんですが、オリーブがあるので、洋風感も加わり、そこが稲荷屋さんらしいです。固形物完食後、スープも完飲。最近は魚にハマっているという店主さん。他のラーメン屋の店主からも聞きましたが、今はいい魚がリーズナブルに手に入ることが多いみたいで、しばらく魚の限定が続くかもですね。どうもご馳走様でした。なお、本メニューは期間限定メニューとなっていますので、提供の詳細はTwitterをご確認ください。,lunch:3.6
2,00000001,らーめん 稲荷屋,3.75,稲荷町,374,限定を止めているんじゃないかと思っていたら、復活しているようだったので来店。限定はオマールの和えそば(洋風)(1200円)。券売機ではなくスタッフにキャッシュを渡す。5分ちょっと待つとオマールの和えそばが運ばれてきた。今回はフェットチーネのような平打ち麺ではなく太めの縮れ麺でソースアメリケーヌで和えられていてトップにはソースベアルネーズが敷かれその上にオマール、そしてなんちゃってキャビアがのっている。ソースベアルネーズはマヨネーズっぽい味なのでいきなり混ぜずにソースアメリケーヌの味を楽しんだ方が良い。麺はこれでも美味しいがフェットチーネっぽい平打ち麺の方が合う気がする。,lunch:4.4
3,00000001,らーめん 稲荷屋,3.75,稲荷町,374,街の中華屋さんらしい佇まい。稲荷町の駅からほど近い場所にあるお店で、ちょっと予想を裏切られる外観である。立て看板を見てワンタン麺にも惹かれたが、オーソドックスに醤油ラーメンの食券を購入。店内はカウンターとテーブル席があり、テーブル席はほぼ埋まっていたが、カウンターにはわずか2名のみだったので間隔を開けて座ることができた。さほど待つことなく5分ほどで着丼。--醤油（細麺）--大ぶりのチャーシューが2枚どんぶりを覆っている。他にはかいわれと海苔だけのシンプルな構成である。中細のストレート麺は旨味があり、スープとの相性もいい。スープは鶏の旨味がしっかりとしたコクがあるタイプ。鶏油の量が少し多いところが個人的には気に掛かるものの、醤油の存在感はいい感じ。低温調理されたチャーシューはしっとりとして旨い。少し油が多いせいか、かいわれのピリっとした辛味が染みる。このラーメンには三つ葉ではなくラーメンが正解なのだろうと感じた。,lunch:-
4,00000001,らーめん 稲荷屋,3.75,稲荷町,374,私のラーメンのレビューは脳内でススルTVのBGMを流して読んでください（笑）16時頃訪問本とさや食べてから歩いて訪問まぁシメって感じですかね（笑）醤油を注文人は一人だけだったあー隅田川花火大会が懐かしいなぁと思いながら待っているとドドん！見た目はアッサリ醤油その見た目の半分以上を持っていくチャーシューこれはうまそうだぁ実食麺は低加水気味の麺でも凄くパツパツな麺っていうわけでもなく程よい食感、うんめぇ♪だがこのうんめぇ麺も結構な塩分で、麺に直接味つけた？ってくらいの味濃いねぇ、美味いですねぇそう思いスープも飲んでみるとぉ！スープは清純なスッキリ醤油ラーメン麺の塩分はどこぞえと思うくらいだが麺が濃いためちょうどいいかも。うーんどうやって作ってるのか不思議でしたねしかし美味かった！どうも御馳走様です稲荷屋さんに行ってきたんですけどあの清純醤油ラーメンは実物でしたね〜いやぁ美味かったここで…いやー稲荷屋さん…いなりはないけどいなりや〜どうもです！,lunch:4.0
5,00000001,らーめん 稲荷屋,3.75,稲荷町,374,はーい！2軒目でーす…先ずは、チューハイで乾杯〜♪おつまみをお任せで。●レアチャーシューもっとも嫌いで分厚いのが到着。はい♡流石、フレンチ出身。しっとりで肉の旨味が凄いです♡♡♡噛み切れないは一切なし。●冷やしワンタン定番メニュー。具沢山でモチモチの皮が良いね♪●とんかつはい！？何？四元豚のロースの甘味とサクサクの衣。ねぇ、頭おかしいの？って店主に聞いちゃった（笑）もうねぇ、旨すぎる♡♡♡♡♡そのまま食べても良いし、塩でも良いし、ソースでも最高だよ。ラーメン屋をやめて、とんかつ屋さんやれば？ってレベル。唸る旨さ。●オムソバモッチモチの麺がフワフワの玉子に入ってるの〜♪マヨネーズを付けてジャンクに。旨いなぁ♡♡♡総じて…やっぱり、稲荷屋は良い店だわね。酒呑みの気持ちをわかっている。これで、酒の種類が豊富なら最強だね。ご馳走様でした。,lunch:4.5
6,00000001,らーめん 稲荷屋,3.75,稲荷町,374,東京メトロ銀座線 稲荷町駅からほど近い場所にあるラーメン屋さんだよ。ワンタンメン醤油ラーメン塩ラーメン醤油背脂ラーメン辛味まぜそば限定ラーメン以上がラインナップイチオシはワンタンメンみたいだね。それをポチッと。お値段は950円。出てきたのがコチラです。ワンタンは5個。チャーシューが2枚。海苔、カイワレ、刻みネギがトッピングされています。まずはスープを一口。旨い〜。鶏ガラ出汁で醤油が香ばしい〜。メチャクチャ旨いぞ〜。刻みネギと一緒に飲んでみる。ネギの香りが映えるねぇ。すごく細かく刻んでるので、その分よく香るのよね〜。カイワレ＋スープだと、ピリリと辛味が後に残る。何となくのトッピングじゃないね。計算されたトッピングだなぁ。ワンタンは大ぶり。肉がしっかり入ってる。食べ応えありだ。そして、生姜が効いてて美味しい！チャーシューも柔らかくて旨い。麺も細めでスタンダードなタイプながらも小麦が香ります。スープを筆頭にトッピングも好感度高し。高いレベルで完成された醤油ラーメンじゃないでしょうか。また行きたいです。ごちそうさまでした。,dinner:4.2
7,00000001,らーめん 稲荷屋,3.75,稲荷町,374,稲荷町の超有名ラーメン店。なぜか未訪でたまに流れてくるめちゃくちゃおいしそうな限定麺の画像を眺めているだけだったのだが、この日はタイミングがあって訪問。券売機を確認すると時期の問題なのか限定麺の提供はやっていないよう。残念。仕方ないのでレギュラーメニューから「背脂醤油（細麺）」（800円）を選ぶ。さすが人気店、平日の昼過ぎなのにどんどん人が入ってくる。店内は常に満席で、近場のサラリーマンらしき方も多い。この近くに職場があれば限定麺も毎回食べられるな。さてラーメン。細かい背脂が浮いたスープに、刻み葱ともやし、海苔、そして大きな低温調理チャーシューがのっている。なんだか珍しい具材の組み合わせだ。スープは意外とさっぱりしていて、背脂の甘さがちょうどいい。オーソドックスな組み合わせと味なんだけれど、バランスがいいなと感じる。麺は中細ストレート。やはり背脂系は細麺のほうが合う気がする。スープとの絡みもよくてずるずるとすすれる。食感はちょっと柔らかめかな。たぶん太麺のほうが一般的だと思うので、このあたりは好みということで。さっきの具材の違和感はこの低温調理チャーシューかもしれない。これがなんだか特殊な気がしてしまう。丼も含めて昔ながらの雰囲気がありながら、このチャーシューだけ尖っているというか。全体的にとてもバランスがよくておいしかった。玉子がデフォルトで入っているというのも嬉しい。ただやはりフレンチをベースにしたという限定麺が気になってしまうなあ。それを目掛けて食べにこよう。,lunch:3.6
8,00000001,らーめん 稲荷屋,3.75,稲荷町,374,"通し営業が嬉しい平日のお休み。稲荷町駅近くにある寿湯さんという東京では珍しいサウナ2種類と露天風呂が楽しめる銭湯のあと。稲荷町という駅はそんなにメジャーではないと思いますが、美味しいラーメン屋が沢山あります。さんじ、稲荷屋、大和、喜多方食堂。銭湯上がりの今の時間は15時55分。そんな時間でも通し営業をしてくださっているのが稲荷屋。朝7時台から営業の喜多方食堂は終わってそうだし、さんじ、大和は営業時間外。稲荷屋さんに行って来ました。前客1名、後客1名。平日の夕方16時、ラーメン食べるお客さんは確かに少ないだろう。食べログ3,75の高評価のお店なのに。通し営業は凄いことだなと頭が下がる。店構えは普通のラーメン屋ですが、意識高い系。自販機の上段は醤油細麺・太麺(800円)と醤油背脂細麺・太麺(850円)限定ラーメンの評価も高い店だが平日16時にそんな限定数メニューがあるはずはない。背脂細麺(850円)を注文。チャーシューは柔らかく大判。とても美味しい。麺は細目硬めパッツンという歯ごたえが美味しい。小麦を感じる。きっと良い素材を使っているのだろう。清湯スープに浮く背脂が甘味を感じて美味しい。なんとなく最後までスープを飲むと背脂の甘味を常に感じることに味変トッピングとかあると良いな。とも思いましたが、普通の醤油の方が私には好みだったのかも。もちろん美味しかった。限定ラーメンも時間を作って食べにきたいと思いました。",lunch:3.5
9,00000001,らーめん 稲荷屋,3.75,稲荷町,374,らーめん稲荷屋＠稲荷町　餃子みたいなワンタン麺 我々東京ホルモンズは　久しぶりに少しの抵抗もなくスッとはいる一杯だったB食家集団である らーめん稲荷屋＠稲荷町　餃子みたいなワンタン麺の話    稲荷町の稲荷屋です  隣りの蕎麦屋砂場さんは稲荷町に住んでた時よく出前取ってたね胡麻油の香りがよい天ぷらそばが好きでした そんな思い出の場所にできたラーメン屋さん住んでた時は無かったよな調べると2015年オープンだそうですもう五年選手なんすね 特に狙ってきた訳ではなく昼飯食う時間を逃して腹がギューギュー鳴り出したとき目に飛び込んできたので店に飛び込んだって経緯です なので前情報がありませんなんなら店に入るまでアソコだと思ってたくらいです（笑） 店頭のパネルメニューを見まして ワンタン麺にしてみました  てかずいぶんでっかいチャーシューだなそしてエロい色してるねー 待ってる間にアレコレ調べてると店主はフレンチ出身っていう異色の経歴なんだそうです  と知るとこの盛り付けも何だ美しく見えてくるから不思議です（笑）  最近街中華ばっかりだから本格ラーメンってずいぶんご無沙汰しちゃったな やっぱオイシイねたまにはこーゆーのも食わなきゃダメだな（笑）  ワンタンじゃねーし！これもう餃子だし！（笑） 何やらフレンチテイストの限定なんてのもやってるんですって？こりゃーまた来ちゃうな！   　人気ブログランキング　　にほんブログ村　　そーいや稲荷町の福寿　店閉めちゃったんだってね　UFOチャーハン好きだったなー  --------------------------------------------店名　らーめん稲荷屋場所　稲荷町--------------------------------------------,lunch:3.7
